Word,W/million,logW,logW-CD
点儿,133.31,3.6505,3.129
老兄,133.16,3.65,3.1818
来自,133.01,3.6495,3.3647
越,132.86,3.649,3.2553
大学,132.8,3.6488,3.2634
照顾,132.68,3.6485,3.3718
太太,132.12,3.6466,3.1744
聪明,131.61,3.6449,3.3985
本来,131.61,3.6449,3.435
加油,131.49,3.6445,3.1284
实际上,131.46,3.6444,3.37
甜,131.16,3.6435,3.2765
怕,131.01,3.643,3.3733
多久,130.92,3.6427,3.4232
并且,130.83,3.6424,3.3255
直接,130.65,3.6418,3.4325
对于,130.36,3.6408,3.3793
记,130.33,3.6407,3.4002
突然,130.15,3.6401,3.4234
啥,130.15,3.6401,3.1844
开枪,130.12,3.64,3.2068
声,128.63,3.635,3.3971
除非,128.15,3.6334,3.4339
集,128,3.6329,3.5411
店,127.97,3.6328,3.2676
酷,127.85,3.6324,3.2953
正常,127.61,3.6315,3.3666
死亡,127.41,3.6308,3.2938
终于,127.38,3.6307,3.4196
拥有,127.2,3.6301,3.3786
警,126.48,3.6277,3.0748
船,126.48,3.6277,3.0542
付,126.24,3.6269,3.3347
派对,126.12,3.6264,3.1222
遍,125.74,3.6251,3.4059
步,125.44,3.6241,3.3696
不再,125.35,3.6238,3.4101
鬼,125.26,3.6235,3.2905
咖啡,125.05,3.6227,3.2851
傻,124.96,3.6224,3.3489
阻止,124.57,3.6211,3.3377
想象,124.51,3.6209,3.4064
冷静,124.48,3.6208,3.331
方法,124.42,3.6206,3.3865
犯,123.56,3.6175,3.3909
扔,123.56,3.6175,3.3514
祝,123.29,3.6166,3.3777
能力,123.29,3.6166,3.2842
完美,123.23,3.6164,3.352
克,123.05,3.6157,3.0899
口,123.02,3.6156,3.3858
目标,122.9,3.6152,3.2639
耶,122.81,3.6149,3.1492
日,122.64,3.6143,3.2693
有关,122.28,3.613,3.38
精神,122.19,3.6127,3.3522
另外,122.16,3.6126,3.3939
放松,121.98,3.6119,3.3412
丢,121.86,3.6115,3.3692
休息,121.47,3.6101,3.3566
每天,121.38,3.6098,3.4004
回答,121.32,3.6096,3.3614
凶手,121.15,3.609,3.0496
负责,121.03,3.6085,3.3526
命,121.03,3.6085,3.3621
外,120.97,3.6083,3.3735
碰,120.88,3.608,3.3512
介意,120.82,3.6078,3.3849
梦,120.82,3.6078,3.2052
试试,120.79,3.6077,3.4098
那天,120.22,3.6056,3.3516
系统,119.21,3.602,3.1973
睡觉,119.21,3.602,3.3489
滚,119,3.6012,3.2878
谋杀,118.91,3.6009,3.1884
礼物,118.88,3.6008,3.2639
那种,118.85,3.6006,3.3916
戴,118.85,3.6006,3.3294
各位,118.7,3.6001,3.2438
错误,118.61,3.5998,3.3587
子,118.4,3.599,3.303
随便,118.37,3.5989,3.4016
头发,117.9,3.5971,3.2999
藏,117.24,3.5947,3.3365
关心,117.03,3.594,3.3688
底,117,3.5938,3.4059
干吗,116.97,3.5937,3.2068
兴趣,116.91,3.5935,3.3705
情,116.7,3.5927,3.3972
报告,116.61,3.5924,3.2762
从没,116.47,3.5918,3.3804
替,116.44,3.5917,3.3162
面,116.44,3.5917,3.3558
经历,116.29,3.5912,3.3576
六,116.2,3.5908,3.316
飞,116.08,3.5904,3.2516
老师,115.63,3.5887,3.0682
气,115.18,3.587,3.3666
不用,115.03,3.5865,3.4024
小孩,115.03,3.5865,3.2662
人类,114.97,3.5862,3.1374
冲,114.83,3.5857,3.3204
自由,114.71,3.5852,3.2634
支持,114.5,3.5844,3.3064
星期,114.38,3.584,3.3181
脚,114.35,3.5839,3.3134
很快,114.35,3.5839,3.3838
毁,114.35,3.5839,3.3612
生气,114.11,3.583,3.3456
建议,113.84,3.5819,3.3677
做到,113.78,3.5817,3.3222
套,113.75,3.5816,3.3608
哭,113.66,3.5813,3.2586
屁股,113.39,3.5802,3.2438
生日,113.28,3.5798,3.1136
晚安,113.16,3.5793,3.2543
否则,113.16,3.5793,3.3694
画,113.13,3.5792,3.1103
病,113.07,3.579,3.2541
线,113.01,3.5788,3.2725
光,112.65,3.5774,3.3477
安排,112.56,3.577,3.3516
神,112.56,3.577,3.2014
