Character,CHR/million,logCHR,logCHR-CD
漂,249.99,4.0686,3.6015
支,249.72,4.0681,3.6002
乎,249.42,4.0676,3.6506
录,248.65,4.0662,3.5591
考,247.92,4.0649,3.6154
超,247.41,4.064,3.5835
拍,247.18,4.0636,3.4634
轻,246.86,4.0631,3.6451
连,245.87,4.0613,3.6517
往,245.85,4.0613,3.6303
组,245.21,4.0602,3.5312
满,244.72,4.0593,3.6584
造,244.68,4.0592,3.609
弹,244.66,4.0592,3.4495
静,244.38,4.0587,3.6138
故,244.12,4.0582,3.6166
吸,243.8,4.0577,3.5703
喂,243.72,4.0575,3.4911
集,243.44,4.057,3.6993
极,243.18,4.0566,3.6136
讲,243.01,4.0563,3.594
块,242.97,4.0562,3.5792
趣,242.91,4.0561,3.6344
类,241.8,4.0541,3.5943
呀,241.43,4.0534,3.4082
戏,241.11,4.0528,3.5725
曾,240.69,4.0521,3.6337
容,240.49,4.0517,3.6572
步,240.39,4.0515,3.6058
投,240.34,4.0515,3.4789
化,240.13,4.0511,3.6114
未,240.09,4.051,3.6095
束,239.55,4.05,3.6454
醒,238.17,4.0475,3.6025
威,237.87,4.047,3.5261
班,237.4,4.0461,3.5573
终,237.27,4.0459,3.6492
差,237.23,4.0458,3.6588
梦,236.61,4.0447,3.5357
赢,235.95,4.0434,3.4802
药,235.63,4.0429,3.5037
迪,235.54,4.0427,3.2271
店,235.28,4.0422,3.5358
丽,234.92,4.0416,3.3909
卖,234.69,4.0411,3.5525
显,234.37,4.0405,3.6387
监,233.71,4.0393,3.5119
图,232.92,4.0378,3.5763
半,232.92,4.0378,3.6376
语,230.84,4.0339,3.5635
付,229.05,4.0306,3.6164
热,228.45,4.0294,3.5968
排,228.09,4.0287,3.6071
楚,228.07,4.0287,3.6342
偷,226.1,4.0249,3.5401
敢,226.04,4.0248,3.6429
油,225.29,4.0234,3.5013
餐,225.17,4.0231,3.5523
破,225.04,4.0229,3.6241
莱,224.38,4.0216,3.239
杯,223.44,4.0198,3.551
市,223.16,4.0192,3.5528
城,222.16,4.0173,3.5418
哇,221.3,4.0156,3.512
权,219.53,4.0121,3.5459
某,218.76,4.0106,3.6158
激,218.55,4.0102,3.6135
立,217.63,4.0083,3.5999
程,217.42,4.0079,3.6009
伊,217.35,4.0078,3.1853
讨,216.71,4.0065,3.6183
责,215.62,4.0043,3.5942
昨,214.83,4.0027,3.5797
闭,214.75,4.0026,3.5739
庭,214.43,4.0019,3.5047
落,214.36,4.0018,3.5642
